Location,Lat,Long,WC_TEMP,WC_SUMMER,WC_PREC,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,MEAN,SumT,Depth,Elev
L20,52.25,-57.583,-1.3,9.4,116.7,-15.1,-14.2,-9.5,-3.6,1.7,6.4,10.8,10.6,6.7,1.2,-3.8,-11.2,-1.666666667,10.7,1,370
L22,53.583,-60.75,-1.4,12.2,96.4,-18.6,-17,-10.8,-3.5,3.6,9.5,14.1,12.8,7.7,1.2,-5.3,-14.6,-1.741666667,13.45,14,161
L28,54.25,-61.083,-2.6,10.6,93.2,-19.4,-18.1,-12.3,-5.2,2.1,7.9,12.4,11.4,6.6,0.3,-6.1,-15.1,-2.958333333,11.9,3,285
L29,54.417,-61.083,-2.8,10.3,92.8,-19.2,-18,-12.3,-5.3,1.9,7.7,12.2,11.3,6.6,0.3,-5.9,-14.8,-2.958333333,11.75,14,441
L34,54.25,-60.917,-2.6,10.6,94.4,-19.1,-17.9,-12.1,-5,2.2,7.9,12.4,11.5,6.7,0.4,-5.9,-14.8,-2.808333333,11.95,26,289
L35,55.083,-62.75,-5.3,8.8,85,-21.8,-20.5,-15.2,-8.3,-0.1,6.6,11.2,9.8,4.8,-1.8,-8.5,-17.6,-5.116666667,10.5,17,561
L36,55.25,-62.75,-5.8,8.2,85.4,-22.7,-21.5,-16.3,-9.4,-1.1,5.6,10.2,8.8,3.8,-2.8,-9.6,-18.5,-6.125,9.5,3,588
L41,54.75,-62.417,-4.5,9.5,86.7,-21.1,-19.8,-14.2,-7.2,0.7,7.2,11.7,10.4,5.5,-1.1,-7.8,-17,-4.391666667,11.05,14,581
L42,54.75,-62.417,-4.5,9.5,86.7,-21.1,-19.8,-14.2,-7.2,0.7,7.2,11.7,10.4,5.5,-1.1,-7.8,-17,-4.391666667,11.05,5,602
L43,57.083,-63.083,-6.6,6.6,75.3,-22,-21.3,-16.7,-9.6,-2,3.9,8.5,7.5,3,-3,-9.2,-17.5,-6.533333333,8,50,510
L45,57.25,-63.083,-6.1,6.9,70.7,-21.9,-21.3,-16.8,-9.7,-2.2,3.7,8.3,7.3,2.9,-3.1,-9.2,-17.4,-6.616666667,7.8,24,472
L46,57.25,-62.75,-5.2,7.4,70.4,-21.1,-20.6,-16,-9,-1.7,3.9,8.6,7.7,3.4,-2.5,-8.5,-16.6,-6.033333333,8.15,23,527
