Location,Lat,Long,WC_TEMP,WC_SUMMER,WC_PREC,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,MEAN,SumT,Depth,Elev
Allen,73.583,-98.417,-17.3,1.6,11.7,-33.6,-34.6,-32.4,-24.4,-11.5,-0.9,4.1,2,-4.9,-15.3,-25.3,-30.4,-17.26666667,3.05,4,131
BC01,75.25,-111.917,-18.6,0.6,8.7,-33.7,-35.3,-33.4,-25.8,-12.5,-1.2,3.3,1.2,-5.6,-16.2,-26.3,-31,-18.04166667,2.25,11.3,131
BC02,75.25,-111.917,-18.6,0.6,8.7,-33.7,-35.3,-33.4,-25.8,-12.5,-1.2,3.3,1.2,-5.6,-16.2,-26.3,-31,-18.04166667,2.25,3,215
BC03,75.25,-112.083,-18.7,0.5,9,-33.8,-35.5,-33.5,-26,-12.7,-1.3,3.1,1,-5.7,-16.4,-26.5,-31.1,-18.2,2.05,2,222
BY10,72.917,-79.583,-15.8,2.7,18.9,-31.5,-33.6,-30.5,-22.5,-10,0.7,5.1,3.5,-2.8,-13.6,-23.5,-28.6,-15.60833333,4.3,0.5,163
BY15,72.917,-79.75,-15.2,3.2,17.5,-31.1,-33.2,-30.2,-22.1,-9.7,1,5.4,3.8,-2.5,-13.3,-23.1,-28.2,-15.26666667,4.6,3.8,195
BY17,72.917,-79.583,-15.8,2.7,18.9,-31.5,-33.6,-30.5,-22.5,-10,0.7,5.1,3.5,-2.8,-13.6,-23.5,-28.6,-15.60833333,4.3,3.05,198
BY18,72.917,-79.75,-15.2,3.2,17.5,-31.1,-33.2,-30.2,-22.1,-9.7,1,5.4,3.8,-2.5,-13.3,-23.1,-28.2,-15.26666667,4.6,1.9,110
CI01,72.75,-93.917,-16.1,2.8,13.9,-33.2,-33.7,-31.9,-23,-10.7,-0.1,5,3.3,-3.9,-14.3,-24.1,-29.2,-16.31666667,4.15,5,190
CI07,76.417,-98.083,-18.4,0.8,11.3,-33.8,-35.2,-33.3,-25.5,-12.1,-1.2,3.3,1,-6.9,-17.5,-26.7,-31.2,-18.25833333,2.15,4,76
CI08,76.417,-98.083,-18.4,0.8,11.3,-33.8,-35.2,-33.3,-25.5,-12.1,-1.2,3.3,1,-6.9,-17.5,-26.7,-31.2,-18.25833333,2.15,1,76
CI14,76.583,-98.917,-18.2,1.3,10.3,-33.7,-35.1,-33.2,-25.3,-11.8,-0.9,3.6,1.3,-6.7,-17.4,-26.6,-31.2,-18.08333333,2.45,3.5,46
CI15,76.583,-98.917,-18.2,1.3,10.3,-33.7,-35.1,-33.2,-25.3,-11.8,-0.9,3.6,1.3,-6.7,-17.4,-26.6,-31.2,-18.08333333,2.45,5.5,46
CI16,75.917,-99.25,-18.4,0.8,11,-33.9,-35.3,-33.3,-25.5,-12.1,-1.3,3.2,1,-6.7,-17.3,-26.7,-31.3,-18.26666667,2.1,8,170
CI17,75.583,-98.25,-18,1,11.7,-33.6,-34.9,-32.9,-25.1,-11.9,-1.2,3.5,1.2,-6.3,-16.8,-26.2,-30.9,-17.925,2.35,9.5,130
CI18,75.583,-99.583,-18.3,0.9,11,-33.7,-35,-32.9,-25.1,-11.8,-1,3.6,1.4,-6.2,-16.8,-26.3,-31,-17.9,2.5,3,30
CI22,75.417,-99.583,-18.3,0.8,11,-33.7,-35.1,-33,-25.2,-11.9,-1.1,3.5,1.3,-6.3,-16.8,-26.3,-31.1,-17.975,2.4,6,150
CI23,75.417,-99.917,-17.8,1.5,10.1,-33.6,-34.9,-32.8,-25,-11.7,-0.8,3.7,1.5,-6,-16.6,-26.1,-30.9,-17.76666667,2.6,4,30
CI25,74.75,-94.25,-16.6,1.9,13.5,-32.7,-33.6,-31.9,-24,-11.3,-0.8,3.9,1.8,-5.4,-15.8,-24.9,-29.5,-17.01666667,2.85,17,15
CI26b,74.917,-93.583,-17.1,1.5,14.6,-33,-33.9,-32.3,-24.2,-11.4,-0.8,3.9,1.8,-5.6,-16.2,-25.3,-29.8,-17.23333333,2.85,8,200
CI27,75.25,-93.583,-16.6,2.2,12.8,-32.9,-33.8,-32.3,-24.2,-11.3,-0.6,4.1,2,-5.6,-16.2,-25.3,-29.8,-17.15833333,3.05,6,120
CI31,79.917,-84.583,-19.8,2.5,8.8,-36.7,-38.5,-37.4,-28.3,-11.7,1,4.7,2.2,-8.6,-22.3,-31.9,-34.5,-20.16666667,3.45,1.4,211
CI32,68.583,-70.4641,-12.7,3.1,25.9,-27,-27.9,-26.9,-19,-9.1,-0.2,5.3,3.8,-2.3,-9.9,-17.9,-24.2,-12.94166667,4.55,4.5,20
CI33,70.417,-68.417,-12.2,2.9,21.8,-27,-28.1,-26.7,-19,-8.3,0.4,4.1,3.7,-0.5,-7.5,-17.3,-24.1,-12.525,3.9,2,18
Coal,70.417,-68.583,-12.6,2.7,22.7,-27.3,-28.4,-27,-19.3,-8.5,0.2,4,3.6,-0.7,-7.8,-17.6,-24.4,-12.76666667,3.8,12.3,9
CR01,73.917,-94.917,-16.9,1.5,14.9,-32.8,-33.6,-31.9,-23.8,-11.3,-0.9,4,2,-5,-15.2,-24.6,-29.5,-16.88333333,3,2.1,130
CR02,72.583,-95.083,-16.1,2.7,13.5,-33.4,-34,-32.1,-23.3,-11,-0.4,4.8,3,-4,-14.3,-24.2,-29.5,-16.53333333,3.9,5.5,170
CR04,72.417,-95.083,-16.4,2.5,13.7,-33.5,-34,-32,-23.2,-10.8,-0.3,5,3.2,-3.7,-14.1,-24.1,-29.5,-16.41666667,4.1,4,240
CV01,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,7.61,350
CV02,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,3.2,350
CV03,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,3.9,350
CV04,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,3.77,350
DUO,73.583,-98.417,-17.3,1.6,11.7,-33.6,-34.6,-32.4,-24.4,-11.5,-0.9,4.1,2,-4.9,-15.3,-25.3,-30.4,-17.26666667,3.05,0.3,23
DV02,74.917,-88.75,-16.5,3,12.3,-33,-33.6,-32.4,-23.6,-10.6,0.5,4.8,2.7,-5.2,-16.5,-25.6,-29.8,-16.85833333,3.75,7.5,134
DV04,74.75,-88.25,-16.7,2.7,13.7,-32.9,-33.5,-32.3,-23.5,-10.6,0.5,4.7,2.7,-5.2,-16.5,-25.5,-29.7,-16.81666667,3.7,5.3,196
DV05,75.583,-92.083,-16.4,3,11.4,-33.1,-33.9,-32.5,-24.1,-10.8,0.1,4.6,2.6,-5.4,-16.4,-25.6,-29.9,-17.03333333,3.6,10,64
DV08,75.417,-89.417,-17.1,2.6,12.4,-33.5,-34.2,-33,-24.3,-10.9,0.2,4.5,2.4,-5.7,-17.1,-26.2,-30.3,-17.34166667,3.45,3,145
DV09,75.583,-89.25,-16.4,3.2,10.8,-33.2,-33.9,-32.7,-23.9,-10.5,0.7,5,2.9,-5.4,-16.9,-26,-30,-16.99166667,3.95,4,1
E501,79.25,-82.583,-21.6,0,16.9,-37.7,-39.9,-38.4,-29.7,-13.9,-1.6,2.3,-0.3,-10.2,-23.3,-32.8,-35.7,-21.76666667,1,34,855
E503,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,3.5,306
E504,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,8.1,306
E505,79.917,-82.917,-20,1.7,10.6,-37.3,-39.3,-38,-29.1,-12.9,-0.3,3.5,1,-9.3,-22.8,-32.3,-35.2,-21,2.25,2.5,229
E506,80.583,-84.417,-21.2,1.3,10.7,-38.8,-40.8,-39.7,-30.6,-13.7,-1,2.7,0.1,-10.9,-24.7,-34.3,-36.8,-22.375,1.4,14,520
E508,80.75,-84.083,-20.1,2.3,8.2,-37.8,-39.8,-38.6,-29.5,-12.7,0.2,3.9,1.3,-9.6,-23.4,-33.1,-35.8,-21.24166667,2.6,2.6,170
E510,80.75,-84.75,-21,1.6,9.3,-38.5,-40.4,-39.3,-30.2,-13.2,-0.3,3.3,0.7,-10.4,-24.3,-34,-36.5,-21.925,2,9,290
E511,79.583,-87.917,-22.2,0.1,14.6,-37.8,-39.5,-38.5,-29.6,-13.3,-1,2.7,0.2,-10.4,-23.6,-33,-35.6,-21.61666667,1.45,11,635
E515,79.583,-87.75,-20.5,1.7,10.2,-37.3,-38.9,-37.9,-28.8,-12.6,-0.2,3.5,1,-9.5,-22.8,-32.3,-35,-20.9,2.25,12,205
E516,79.75,-87.583,-19.8,2.4,8.3,-36.7,-38.2,-37.2,-28.2,-11.8,0.7,4.4,2,-8.7,-22.1,-31.6,-34.3,-20.14166667,3.2,3,270
HW01,80.083,-83.417,-19,2.8,7.7,-36.2,-38.1,-36.8,-27.8,-11.5,1.2,5,2.6,-7.9,-21.5,-31.2,-34,-19.68333333,3.8,3.7,91
HW02,79.75,-83.417,-20,1.8,10.6,-37,-39.1,-37.7,-28.8,-12.6,-0.1,3.7,1.2,-9.2,-22.6,-32.1,-35,-20.775,2.45,4.5,396
HW03,79.75,-85.75,-22.9,-0.2,16,-39.1,-40.9,-39.9,-30.9,-14.1,-1.6,2,-0.7,-11.6,-25.2,-34.6,-37.1,-22.80833333,0.65,13,137
HW05,80.25,-87.75,-19.8,2.5,7.7,-36.8,-38.4,-37.4,-28.3,-11.7,0.9,4.6,2.1,-8.7,-22.3,-31.8,-34.5,-20.19166667,3.35,3.7,91
HW07,79.75,-83.583,-19.7,2.1,9.8,-36.7,-38.7,-37.4,-28.4,-12.2,0.4,4.1,1.6,-8.8,-22.3,-31.8,-34.6,-20.4,2.85,6,366
HW08,79.75,-83.417,-20,1.8,10.6,-37,-39.1,-37.7,-28.8,-12.6,-0.1,3.7,1.2,-9.2,-22.6,-32.1,-35,-20.775,2.45,8.5,375
IQ01,63.75,-68.583,-9.9,5.3,41.7,-27.1,-28.3,-25,-16,-5.4,2.4,6.7,5.8,1.2,-5.8,-13.6,-23.1,-10.68333333,6.25,4,175
IQ02,63.75,-68.583,-9.9,5.3,41.7,-27.1,-28.3,-25,-16,-5.4,2.4,6.7,5.8,1.2,-5.8,-13.6,-23.1,-10.68333333,6.25,1.5,159
IQ03,63.75,-68.583,-9.9,5.3,41.7,-27.1,-28.3,-25,-16,-5.4,2.4,6.7,5.8,1.2,-5.8,-13.6,-23.1,-10.68333333,6.25,3,155
IQ04,63.75,-68.417,-10.4,4.8,44,-26.7,-27.8,-24.6,-15.8,-5.2,2.3,6.7,5.8,1.2,-5.8,-13.5,-22.9,-10.525,6.25,9,158
IQ05,63.75,-68.417,-10.4,4.8,44,-26.7,-27.8,-24.6,-15.8,-5.2,2.3,6.7,5.8,1.2,-5.8,-13.5,-22.9,-10.525,6.25,17.2,196
IQ06,63.75,-68.583,-9.9,5.3,41.7,-27.1,-28.3,-25,-16,-5.4,2.4,6.7,5.8,1.2,-5.8,-13.6,-23.1,-10.68333333,6.25,5.8,134
JR05,69.917,-94.917,-16.3,3.6,14.7,-34.8,-35.1,-32.6,-22.7,-10.4,0.4,6.3,4.9,-2.1,-12.7,-23.9,-30.1,-16.06666667,5.6,4.5,130
JR06,69.917,-94.917,-16.3,3.6,14.7,-34.8,-35.1,-32.6,-22.7,-10.4,0.4,6.3,4.9,-2.1,-12.7,-23.9,-30.1,-16.06666667,5.6,4,140
KR01,71.417,-113.75,-16,2.2,13.1,-31.9,-33,-30.8,-22.9,-10.8,0.1,4.7,3.3,-2.5,-12,-23.3,-28.4,-15.625,4,5,171
KR02,71.417,-113.75,-16,2.2,13.1,-31.9,-33,-30.8,-22.9,-10.8,0.1,4.7,3.3,-2.5,-12,-23.3,-28.4,-15.625,4,6.1,229
KR04,71.25,-113.917,-15.3,3,12.5,-31.6,-32.4,-30.1,-22.2,-10.1,0.8,5.2,4,-1.8,-11.2,-22.7,-27.9,-15,4.6,7.1,175
KR06,71.25,-113.917,-15.3,3,12.5,-31.6,-32.4,-30.1,-22.2,-10.1,0.8,5.2,4,-1.8,-11.2,-22.7,-27.9,-15,4.6,4.5,189
KR07,71.417,-113.75,-16,2.2,13.1,-31.9,-33,-30.8,-22.9,-10.8,0.1,4.7,3.3,-2.5,-12,-23.3,-28.4,-15.625,4,5.6,196
KR08,71.25,-113.75,-15.3,3,12.2,-31.6,-32.5,-30.3,-22.4,-10.2,0.6,5.2,3.9,-1.9,-11.4,-22.8,-28.1,-15.125,4.55,3.3,190
MB01,69.75,-112.083,-15,3.3,12.6,-31.4,-32.1,-29.8,-21.7,-9.7,1.1,6,4.7,-0.9,-10.3,-22.5,-28.1,-14.55833333,5.35,15.83,261
MB02,69.75,-112.083,-15,3.3,12.6,-31.4,-32.1,-29.8,-21.7,-9.7,1.1,6,4.7,-0.9,-10.3,-22.5,-28.1,-14.55833333,5.35,31.5,253
MB03,69.75,-112.083,-15,3.3,12.6,-31.4,-32.1,-29.8,-21.7,-9.7,1.1,6,4.7,-0.9,-10.3,-22.5,-28.1,-14.55833333,5.35,25.9,264
MR01,71.75,-122.083,-14.5,2.7,14.3,-29.7,-30.6,-28.9,-20.9,-9.4,0.6,4.8,3,-2.5,-11.2,-21.6,-26.2,-14.38333333,3.9,21,330
MR02,71.75,-122.083,-14.5,2.7,14.3,-29.7,-30.6,-28.9,-20.9,-9.4,0.6,4.8,3,-2.5,-11.2,-21.6,-26.2,-14.38333333,3.9,4.2,330
RB01,66.583,-86.25,-12.3,5.4,18.8,-30.8,-31.6,-27.5,-19.2,-8.8,2.6,7.7,5.8,0.2,-10.4,-20.6,-27.7,-13.35833333,6.75,0.5,34
RB14,66.583,-86.25,-12.3,5.4,18.8,-30.8,-31.6,-27.5,-19.2,-8.8,2.6,7.7,5.8,0.2,-10.4,-20.6,-27.7,-13.35833333,6.75,0.5,200
RB17,66.583,-86.25,-12.3,5.4,18.8,-30.8,-31.6,-27.5,-19.2,-8.8,2.6,7.7,5.8,0.2,-10.4,-20.6,-27.7,-13.35833333,6.75,0.5,76
RB02,66.583,-86.25,-12.3,5.4,18.8,-30.8,-31.6,-27.5,-19.2,-8.8,2.6,7.7,5.8,0.2,-10.4,-20.6,-27.7,-13.35833333,6.75,1,17
RB04,66.583,-86.25,-12.3,5.4,18.8,-30.8,-31.6,-27.5,-19.2,-8.8,2.6,7.7,5.8,0.2,-10.4,-20.6,-27.7,-13.35833333,6.75,1.1,150
RB07,66.583,-86.25,-12.3,5.4,18.8,-30.8,-31.6,-27.5,-19.2,-8.8,2.6,7.7,5.8,0.2,-10.4,-20.6,-27.7,-13.35833333,6.75,7.2,58
QB01,72.25,-78.583,-16.6,1.9,22.4,-32.8,-34.8,-31.7,-23.6,-11.2,-0.7,3.7,2.3,-3.9,-14.3,-24.5,-29.9,-16.78333333,3,17.7,533
QB06,72.25,-78.583,-16.6,1.9,22.4,-32.8,-34.8,-31.7,-23.6,-11.2,-0.7,3.7,2.3,-3.9,-14.3,-24.5,-29.9,-16.78333333,3,20.6,686
QB07,72.25,-78.75,-15.5,2.9,18.7,-32.1,-34.2,-31.1,-23,-10.6,-0.1,4.4,2.9,-3.1,-13.6,-23.8,-29.2,-16.125,3.65,4.4,427
QB15,72.083,-78.417,-14.4,3.8,15.6,-32,-33.9,-30.9,-22.8,-10.3,0.1,4.5,3.1,-2.8,-13.3,-23.5,-29,-15.9,3.8,13,366
Ridge,79.917,-84.583,-19.8,2.5,8.8,-36.7,-38.5,-37.4,-28.3,-11.7,1,4.7,2.2,-8.6,-22.3,-31.9,-34.5,-20.16666667,3.45,5,22
SL01,68.583,-91.917,-15.6,4,18.7,-34.4,-34.7,-31.3,-21.7,-10.1,0.5,7,5.3,-1.7,-11.9,-23.4,-30,-15.53333333,6.15,8.72,198
SL02,68.583,-91.917,-15.6,4,18.7,-34.4,-34.7,-31.3,-21.7,-10.1,0.5,7,5.3,-1.7,-11.9,-23.4,-30,-15.53333333,6.15,8.72,192
SL03,68.583,-91.917,-15.6,4,18.7,-34.4,-34.7,-31.3,-21.7,-10.1,0.5,7,5.3,-1.7,-11.9,-23.4,-30,-15.53333333,6.15,0.6,196
SL04,68.583,-91.917,-15.6,4,18.7,-34.4,-34.7,-31.3,-21.7,-10.1,0.5,7,5.3,-1.7,-11.9,-23.4,-30,-15.53333333,6.15,3,189
SL05,68.583,-91.917,-15.6,4,18.7,-34.4,-34.7,-31.3,-21.7,-10.1,0.5,7,5.3,-1.7,-11.9,-23.4,-30,-15.53333333,6.15,12.37,181
SL06,68.583,-91.917,-15.6,4,18.7,-34.4,-34.7,-31.3,-21.7,-10.1,0.5,7,5.3,-1.7,-11.9,-23.4,-30,-15.53333333,6.15,9,190
SP02,68.583,-83.25,-14,3.5,23.5,-30.9,-32.1,-28.7,-20.4,-9.5,0.4,6.2,4.1,-1.6,-10.9,-20.9,-26.9,-14.26666667,5.15,8.8,240
SP04,68.583,-83.25,-14,3.5,23.5,-30.9,-32.1,-28.7,-20.4,-9.5,0.4,6.2,4.1,-1.6,-10.9,-20.9,-26.9,-14.26666667,5.15,7.8,240
TwoBasin,79.917,-84.75,-19.6,2.7,8.4,-36.7,-38.5,-37.3,-28.2,-11.6,1.1,4.8,2.3,-8.5,-22.3,-31.9,-34.5,-20.10833333,3.55,5.5,138
WB02,72.25,-109.917,-16.5,2.6,9.1,-32.8,-33.9,-31.8,-24,-11.4,0,5.1,3,-3.4,-13.8,-24.8,-29.8,-16.46666667,4.05,7.43,150
WB04,72.25,-109.917,-16.5,2.6,9.1,-32.8,-33.9,-31.8,-24,-11.4,0,5.1,3,-3.4,-13.8,-24.8,-29.8,-16.46666667,4.05,4,147
WB05,72.25,-109.75,-17,2.1,9.7,-32.8,-33.9,-31.9,-24.1,-11.4,-0.1,5.1,3,-3.4,-13.8,-24.9,-29.9,-16.50833333,4.05,14.3,270
WB06,72.25,-109.917,-16.5,2.6,9.1,-32.8,-33.9,-31.8,-24,-11.4,0,5.1,3,-3.4,-13.8,-24.8,-29.8,-16.46666667,4.05,9.6,305
Wolf,73.583,-98.417,-17.3,1.6,11.7,-33.6,-34.6,-32.4,-24.4,-11.5,-0.9,4.1,2,-4.9,-15.3,-25.3,-30.4,-17.26666667,3.05,6,151
G1,64.6593,-50.5298,-2.6,6.6,58.2,-12.4,-12.8,-11.7,-6.3,0.1,4,6.4,5.4,1.8,-4,-8,-11,-4.041666667,5.9,8.1,30
G2,64.6564,-50.518,-2.6,6.6,58.2,-12.4,-12.8,-11.7,-6.3,0.1,4,6.4,5.4,1.8,-4,-8,-11,-4.041666667,5.9,9,51
G5,64.6638,-50.5035,-2.6,6.6,58.2,-12.4,-12.8,-11.7,-6.3,0.1,4,6.4,5.4,1.8,-4,-8,-11,-4.041666667,5.9,5.75,94
G8,64.6495,-50.4682,-2.4,6.7,57.3,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,2.38,106
G7,64.6573,-50.4646,-2.4,6.7,57.3,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,7.3,210
G24,64.6343,-50.4684,-2.4,6.7,57.3,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,4.1,143
G9,64.6562,-50.4356,-2.6,6.5,58.2,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,4.6,193
G16A,64.6472,-50.4373,-2.6,6.5,58.2,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,2.1,230
G18,64.6379,-50.4139,-3.1,6.1,60.8,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,8.4,262
G19,64.6369,-50.4084,-3.1,6.1,60.8,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,8.7,275
G20B,64.6302,-50.3973,-3.1,6.1,60.8,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,20.1,310
G17,64.6421,-50.4171,-2.6,6.5,58.2,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,9.8,319
G35,64.6218,-50.4821,-4.1,5.2,67.1,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,5.6,319
G13,64.6534,-50.4092,-3.1,6.1,60.8,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,4.3,364
G21,64.6274,-50.377,-3.1,6.1,60.8,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,4.25,400
G12A,64.6495,-50.4189,-2.6,6.5,58.2,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,1.2,423
G14,64.648,-50.3783,-3.1,6.1,60.8,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,6.8,491
G21A,64.63,-50.3708,-3.4,5.9,61.8,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,3,500
G14A,64.6475,-50.3715,-3.4,5.9,61.8,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,4.9,514
G29,64.6039,-50.4866,-4.1,5.2,67.1,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,6.2,605
G29A,64.6026,-50.5016,-3.8,5.4,65.8,-12.4,-12.8,-11.7,-6.3,0.1,4,6.4,5.4,1.8,-4,-8,-11,-4.041666667,5.9,4.2,608
G27,64.6041,-50.4703,-4.1,5.2,67.1,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,9.6,617
G25A,64.6141,-50.4614,-4.1,5.2,67.1,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,4.95,630
G30,64.5992,-50.4448,-4.4,5,68.7,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,3.9,700
G28,64.5973,-50.4702,-4.1,5.2,67.1,-13.1,-13.5,-12.3,-6.8,-0.3,3.7,6,5,1.2,-4.6,-8.7,-11.8,-4.6,5.5,8.8,835
Myrah1,66.0127,-21.406,2.2,8.3,76,-4.1,-3.7,-3.8,-1,2.6,6,7.9,7.4,4.3,1.1,-2.1,-3.8,0.9,7.65,1.3,73
Myrah2,66.0107,-21.4165,2.2,8.3,76,-4.1,-3.7,-3.8,-1,2.6,6,7.9,7.4,4.3,1.1,-2.1,-3.8,0.9,7.65,0.76,66
Gjogur,66.0026,-21.3602,2.5,8.6,74.5,-4.1,-3.7,-3.8,-1,2.6,6,7.9,7.4,4.3,1.1,-2.1,-3.8,0.9,7.65,1.13,43
Finbog,66.0131,-21.477,1.9,8,78.3,-4.1,-3.7,-3.8,-1,2.6,6,7.9,7.4,4.3,1.1,-2.1,-3.8,0.9,7.65,0.46,23
Thidri,65.6828,-21.737,2.3,8.4,80.2,-4.2,-3.8,-3.8,-1.1,2.5,6,7.8,7.3,4.2,1,-2.3,-3.9,0.808333333,8.1,56.9,90
Hrof,65.7414,-21.7735,1.9,7.9,82.7,-4.2,-3.8,-3.8,-1.1,2.5,6,7.8,7.3,4.2,1,-2.3,-3.9,0.808333333,8.1,2.74,178
Fitja,65.7417,-21.8008,1.7,7.7,83.9,-4.2,-3.8,-3.8,-1.1,2.5,6,7.8,7.3,4.2,1,-2.3,-3.9,0.808333333,8.1,0.37,175
Reidgo,65.7676,-21.6327,2.1,8.1,80.2,-4.2,-3.7,-3.7,-0.9,2.7,6.1,8,7.5,4.3,1.1,-2.2,-3.8,0.933333333,8.1,4.27,162
Ogmund,65.7671,-21.6158,2.3,8.3,79.4,-4.2,-3.7,-3.7,-0.9,2.7,6.1,8,7.5,4.3,1.1,-2.2,-3.8,0.933333333,8.1,1.4,157
Nord1,65.7489,-22.1055,0.8,6.8,91.9,-4.2,-3.7,-3.7,-1.1,2.5,5.9,7.8,7.3,4.1,0.9,-2.3,-3.8,0.808333333,7.9,1.37,437
Marg,65.7733,-22.1827,0.9,7,91.6,-3.8,-3.3,-3.3,-0.8,2.8,6.2,8.1,7.6,4.4,1.3,-1.9,-3.4,1.158333333,7.9,1.83,418
Nord2,65.7558,-22.147,0.7,6.8,92.2,-4.2,-3.7,-3.7,-1.1,2.5,5.9,7.8,7.3,4.1,0.9,-2.3,-3.8,0.808333333,7.9,3.63,441
Eyrar,65.7953,-22.6118,1.7,7.6,94.3,-3.2,-2.8,-2.7,-0.4,3.2,6.6,8.5,8,4.9,1.8,-1.3,-2.8,1.65,8.05,0.85,317
Efst,65.9353,-22.6773,2.1,8,93.7,-3.6,-3.2,-3.1,-0.9,2.7,6.1,8,7.6,4.4,1.3,-1.7,-3.2,1.2,8.05,3.8,123
Lauga,65.9797,-22.6572,2.3,8.2,91.3,-3.4,-3,-2.9,-0.6,2.9,6.3,8.2,7.8,4.6,1.6,-1.4,-3,1.425,8.05,1.4,46
Mjolk2,65.7662,-23.1272,1.9,7.6,110.3,-3.7,-3.3,-3.3,-1,2.7,6,7.8,7.5,4.2,1.2,-1.8,-3.3,1.083333333,7.8,1.31,402
Pverd,65.6205,-23.2232,2.2,7.7,111.8,-3.2,-2.7,-2.8,-0.5,3.1,6.4,8.2,7.9,4.7,1.8,-1.2,-2.8,1.575,7.8,0.61,381
Djup1,65.6534,-23.2672,1.6,7.2,116.2,-3.2,-2.7,-2.8,-0.5,3.1,6.4,8.2,7.9,4.7,1.8,-1.2,-2.8,1.575,7.8,2.32,498
Djup2,65.6598,-23.239,0.9,6.6,118.1,-3.2,-2.7,-2.8,-0.5,3.1,6.4,8.2,7.9,4.7,1.8,-1.2,-2.8,1.575,7.8,0.61,426
FremGu,65.5769,-22.393,2.9,8.8,82.6,-3.6,-3.1,-3,-0.6,3,6.4,8.3,7.8,4.6,1.5,-1.7,-3.2,1.366666667,8.25,0.61,28
Hogna,65.7504,-22.1655,0.7,6.8,92.2,-4.2,-3.7,-3.7,-1.1,2.5,5.9,7.8,7.3,4.1,0.9,-2.3,-3.8,0.808333333,7.9,1.98,422
Porsk1,65.7116,-22.1382,0.7,6.8,92.3,-4.2,-3.7,-3.7,-1.1,2.5,5.9,7.8,7.3,4.1,0.9,-2.3,-3.8,0.808333333,7.9,2.47,484
Holm1,65.7035,-22.1068,0.9,7,91.4,-4.2,-3.7,-3.7,-1.1,2.5,5.9,7.8,7.3,4.1,0.9,-2.3,-3.8,0.808333333,7.95,7.56,453
