"","Cat","sums"
"Sommerfugle so","Greenland",80
"Vesterport so","Greenland",45
"Hestehale so","Greenland",49
"Lake No. 19","Greenland",54
"Sletten so","Greenland",85
"Storvatnet","Svalbard",59
"Solvatnet","Svalbard",69
"Mossel","Svalbard",52
"Coles","Svalbard",56
"LCL","Greenland",86.5
"DS0","Greenland",68.5
"NorthLake","Greenland",100
"N14","Greenland",65
